"","lizard_id","position","species","sex","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","blue_asso"
"151",1373,"A2","guichenoti","Female","A_28","CL370_22",120,"24/3/2023","13/4/2023",20,"B_R",5,"L",0,"",1,5,"R",0,1,"",NA
"152",1562,"A4","guichenoti","Female","B_28","CL423_22",101,"26/3/2023","13/4/2023",18,"B_R",5,"L",1,"",1,5,"C",0,1,"",NA
"153",1609,"A4","guichenoti","Female","A_28","CL437_22",101,"25/3/2023","13/4/2023",19,"B_R",5,"R",1,"",1,5,"L",1,1,"",NA
"154",1438,"B1","guichenoti","Male","B_28","CL386_22",113,"21/3/2023","13/4/2023",23,"B_R",5,"L",NA,"",0,5,"C",1,1,"",NA
"155",1240,"B2","delicata","Female","A_28","CL330_22",132,"30/3/2023","13/4/2023",14,"B_R",5,"L",NA,"",0,5,"C",0,1,"",NA
"156",1205,"B4","delicata","Male","A_28","CL320_22",136,"31/3/2023","13/4/2023",13,"R_B",5,"L",0,"",1,5,"L",0,1,"",NA
"157",1296,"B4","delicata","Female","B_23","CL348_22",108,"5/4/2023","13/4/2023",8,"B_R",5,"L",NA,"",0,5,"R",0,1,"",NA
"158",1399,"B4","delicata","Male","A_23","CL377_22",97,"3/4/2023","13/4/2023",10,"R_B",5,"L",0,"",0,5,"C",0,1,"",NA
"159",1366,"C1","guichenoti","Female","A_28","CL368_22",127,"1/4/2023","13/4/2023",12,"B_R",5,"R",NA,"",0,5,"L",0,0,"",NA
"160",1463,"C1","guichenoti","Female","B_28","CL396_22",111,"27/3/2023","13/4/2023",17,"B_R",5,"L",1,"",1,5,"R",0,1,"",NA
"161",1322,"C2","delicata","Male","B_23","CL356_22",108,"26/3/2023","13/4/2023",18,"R_B",5,"C",0,"",0,5,"C",0,1,"",NA
"162",1611,"C3","guichenoti","Female","B_28","CL438_22",99,"26/3/2023","13/4/2023",18,"B_R",5,"R",NA,"More than one cricket eaten",0,5,"R",0,1,"",NA
"163",2105,"C4","delicata","Female","B_23","CL569_22",59,"1/4/2023","13/4/2023",12,"B_R",5,"L",NA,"",0,5,"C",1,1,"",NA
"164",1177,"D1","guichenoti","Male","A_23","CL314_22",125,"28/3/2023","13/4/2023",16,"R_B",5,"R",0,"",0,5,"L",0,1,"",NA
"165",1479,"D1","guichenoti","Female","A_28","CL400_22",108,"28/3/2023","13/4/2023",16,"R_B",5,"L",0,"",1,5,"R",1,1,"",NA
"166",1371,"D3","guichenoti","Male","A_23","CL370_22",94,"27/3/2023","13/4/2023",17,"B_R",5,"R",NA,"",1,5,"R",0,1,"",NA
"167",1166,"D4","delicata","Female","A_28","CL312_22",143,"4/4/2023","13/4/2023",9,"R_B",5,"C",0,"",1,5,"R",0,1,"",NA
"168",1442,"E1","guichenoti","Male","B_23","CL388_22",94,"21/3/2023","13/4/2023",23,"B_R",5,"R",0,"",0,5,"L",0,1,"",NA
"169",1174,"E2","delicata","Male","A_23","CL313_22",132,"31/3/2023","13/4/2023",13,"R_B",5,"R",1,"",1,5,"L",0,1,"",NA
"170",1402,"E2","delicata","Male","A_28","CL377_22",118,"1/4/2023","13/4/2023",12,"R_B",5,"R",1,"",1,5,"C",1,1,"",NA
