"","lizard_id","position","species","sex","trt","clutch","egg_enclosure","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","blue_asso","temp","cort"
"77",2298,"A2","guichenoti","Female","B_28","CL619_23","E056_F120",62,"26/3/2023","13/4/2023",18,"B_R",1,"L",0,"",0,1,"C",0,0,"",0,"Hot","CORT"
"78",1374,"C1","guichenoti","Male","B_23","CL371_22","E058_F120",97,"20/3/2023","13/4/2023",24,"R_B",1,"L",0,"",1,1,"R",0,0,"",0,"Cold","CORT"
"79",1613,"F2","guichenoti","Male","B_23","CL439_22","E059_F120",80,"29/3/2023","13/4/2023",15,"R_B",1,"C",0,"",0,1,"R",1,1,"",1,"Cold","CORT"
"80",2164,"E3","guichenoti","Female","B_23","CL584_22","E059_F120",48,"20/3/2023","13/4/2023",24,"B_R",1,"L",1,"",1,1,"L",0,0,"",1,"Cold","CORT"
"81",1283,"A4","guichenoti","Female","A_23","CL344_22","E067",106,"28/3/2023","13/4/2023",16,"R_B",1,"L",NA,"",0,1,"R",1,1,"",NA,"Cold","Control"
"82",2047,"B3","guichenoti","Male","A_23","CL552_22","E067",55,"27/3/2023","13/4/2023",17,"B_R",1,"R",NA,"",0,1,"L",0,1,"",NA,"Cold","Control"
"83",1419,"F2","guichenoti","Female","A_28","CL382_22","E068",118,"20/3/2023","13/4/2023",24,"B_R",1,"L",1,"",1,1,NA,NA,0,"No test made",1,"Hot","Control"
"84",1421,"G1","guichenoti","Male","B_23","CL382_22","E068",97,"20/3/2023","13/4/2023",24,"R_B",1,"L",NA,"",0,1,"L",0,1,"",NA,"Cold","CORT"
"85",1611,"C3","guichenoti","Female","B_28","CL438_22","E0.",99,"26/3/2023","13/4/2023",18,"B_R",2,"L",NA,"",0,2,"L",0,0,"",NA,"Hot","CORT"
"86",1334,"G4","delicata","Female","A_28","CL358_22","E001_F120",127,"31/3/2023","13/4/2023",13,"B_R",2,"R",0,"",1,2,"R",1,1,"",NA,"Hot","Control"
"87",2351,"F1","delicata","Male","A_28","CL634_23","E001_F120",59,"6/4/2023","13/4/2023",7,"B_R",2,"L",1,"",1,2,"L",0,1,"",NA,"Hot","Control"
"88",1438,"B1","guichenoti","Male","B_28","CL386_22","E002_M/E006_M",113,"21/3/2023","13/4/2023",23,"B_R",2,"C",1,"",1,2,"R",0,1,"",NA,"Hot","CORT"
"89",1442,"E1","guichenoti","Male","B_23","CL388_22","E003_F120",94,"21/3/2023","13/4/2023",23,"B_R",2,"C",0,"",1,2,"R",0,0,"",NA,"Cold","CORT"
"90",1443,"E3","guichenoti","Male","A_23","CL388_22","E003_F120",94,"20/3/2023","13/4/2023",24,"R_B",2,"R",0,"",1,2,"C",1,1,"",NA,"Cold","Control"
"91",1432,"B3","guichenoti","Male","B_23","CL385_22","E003_M/E005_M",94,"20/3/2023","13/4/2023",24,"R_B",2,"R",0,"",1,2,"R",0,1,"",NA,"Cold","CORT"
"92",1562,"A4","guichenoti","Female","B_28","CL423_22","E003_M/E005_M",101,"26/3/2023","13/4/2023",18,"B_R",2,"C",0,"",1,2,"L",0,1,"",NA,"Hot","CORT"
"93",1255,"A1","delicata","Male","A_23","CL334_22","E004_F120",111,"31/3/2023","13/4/2023",13,"B_R",2,"C",NA,"",0,2,"C",1,1,"",NA,"Cold","Control"
"94",1257,"D4","delicata","Male","B_23","CL334_22","E004_F120",111,"27/3/2023","13/4/2023",17,"B_R",2,"L",NA,"",0,2,"C",1,1,"",NA,"Cold","CORT"
"95",1258,"G2","delicata","Female","A_28","CL334_22","E004_F120",129,"28/3/2023","13/4/2023",16,"B_R",2,"C",0,"",1,2,"R",1,1,"",NA,"Hot","Control"
"96",1565,"E1","guichenoti","Female","B_28","CL424_22","E004_M",101,"29/3/2023","13/4/2023",15,"R_B",2,"R",NA,"",0,2,"L",0,1,"",NA,"Hot","CORT"
"97",2081,"G3","guichenoti","Male","B_23","CL562_22","E004_M",52,"3/4/2023","13/4/2023",10,"B_R",2,"C",0,"",1,2,"L",1,1,"",NA,"Cold","CORT"
"98",1358,"D1","guichenoti","Female","B_28","CL365_22","E005_F120",129,"20/3/2023","13/4/2023",24,"R_B",2,"L",NA,"",0,2,"L",1,1,"",NA,"Hot","CORT"
"99",1340,"F4","guichenoti","Female","B_28","CL360_22","E006_F120",122,"6/4/2023","13/4/2023",7,"R_B",2,"R",0,"",1,2,"L",0,1,"",NA,"Hot","CORT"
"100",1229,"D4","delicata","Male","B_28","CL326_22","E007_F120",129,"29/3/2023","13/4/2023",15,"R_B",2,"L",NA,"More than one cricket eaten",1,2,"L",0,1,"",NA,"Hot","CORT"
"101",2105,"C4","delicata","Female","B_23","CL569_22","E007_F120",59,"1/4/2023","13/4/2023",12,"B_R",2,"L",NA,"",0,2,"C",1,1,"",NA,"Cold","CORT"
"102",2106,"F3","delicata","Female","A_28","CL569_22","E007_F120",78,"9/4/2023","13/4/2023",4,"B_R",2,"R",NA,"More than one cricket eaten",0,2,"R",0,0,"",NA,"Hot","Control"
"103",1202,"C2","delicata","Male","B_28","CL319_22","E007_M/E017_M",134,"26/3/2023","13/4/2023",18,"B_R",2,"L",NA,"Wrong shelter",1,2,"R",0,1,"",NA,"Hot","CORT"
"104",1410,"A1","delicata","Female","A_28","CL379_22","E008_F120",120,"28/3/2023","13/4/2023",16,"R_B",2,"L",0,"",0,2,"L",0,1,"",NA,"Hot","Control"
"105",1408,"G2","delicata","Female","B_28","CL379_22","E008_F120",120,"28/3/2023","13/4/2023",16,"R_B",2,"C",0,"",0,2,"L",0,1,"",NA,"Hot","CORT"
"106",2205,"C2","delicata","Male","A_28","CL595_22","E008_F120",69,"9/4/2023","13/4/2023",4,"B_R",2,"C",1,"",1,2,"C",0,1,"",NA,"Hot","Control"
"107",1463,"C1","guichenoti","Female","B_28","CL396_22","E009_F120",111,"27/3/2023","13/4/2023",17,"B_R",2,"C",0,"",0,2,"L",0,1,"",NA,"Hot","CORT"
"108",1192,"D4","delicata","Male","A_23","CL317_22","E010_M",120,"29/3/2023","13/4/2023",15,"R_B",2,"C",0,"",1,2,"L",1,1,"",NA,"Cold","Control"
"109",1795,"G3","guichenoti","Female","A_23","CL489_22","E011_F120",66,"5/4/2023","13/4/2023",8,"B_R",2,"L",1,"",1,2,"R",0,1,"",NA,"Cold","Control"
"110",2073,"A1","delicata","Male","B_23","CL560_22","E011_M/E024_M",57,"22/3/2023","13/4/2023",22,"B_R",2,"C",1,"",1,2,"R",0,1,"",NA,"Cold","CORT"
"111",1276,"B1","guichenoti","Female","A_28","CL341_22","E012_F120",129,"29/3/2023","13/4/2023",15,"R_B",2,"R",1,"",1,2,"C",1,1,"",NA,"Hot","Control"
"112",1366,"C1","guichenoti","Female","A_28","CL368_22","E012_F120",127,"1/4/2023","13/4/2023",12,"B_R",2,"L",NA,"",1,2,"R",0,1,"",NA,"Hot","Control"
"113",1401,"A3","delicata","Female","B_28","CL377_22","E014_F120",115,"1/4/2023","13/4/2023",12,"R_B",2,"R",0,"",1,2,"L",0,0,"",NA,"Hot","CORT"
"114",1399,"B4","delicata","Male","A_23","CL377_22","E014_F120",97,"3/4/2023","13/4/2023",10,"R_B",2,"R",0,"",1,2,"R",0,1,"",NA,"Cold","Control"
"115",1402,"E2","delicata","Male","A_28","CL377_22","E014_F120",118,"1/4/2023","13/4/2023",12,"R_B",2,"R",0,"",0,2,"L",0,1,"",NA,"Hot","Control"
"116",1207,"A3","delicata","Female","B_23","CL320_22","E014_M",118,"30/3/2023","13/4/2023",14,"R_B",2,"R",0,"",0,2,"R",0,1,"",NA,"Cold","CORT"
"117",1205,"B4","delicata","Male","A_28","CL320_22","E014_M",136,"31/3/2023","13/4/2023",13,"R_B",2,"L",NA,"More than one cricket eaten",1,2,"L",0,1,"",NA,"Hot","Control"
"118",1303,"D2","delicata","Female","B_23","CL350_22","E014_M",113,"30/3/2023","13/4/2023",14,"R_B",2,"C",NA,"",0,2,"R",1,1,"",NA,"Cold","CORT"
"119",1580,"F2","guichenoti","Female","B_28","CL428_22","E015_F120",99,"20/3/2023","13/4/2023",24,"R_B",2,"L",0,"",1,2,"L",0,1,"",NA,"Hot","CORT"
"120",1284,"B2","delicata","Male","B_28","CL345_22","E016_F120",129,"21/3/2023","13/4/2023",23,"B_R",2,"R",NA,"",0,2,"C",0,1,"",NA,"Hot","CORT"
"121",1373,"A2","guichenoti","Female","A_28","CL370_22","E016_F120",120,"24/3/2023","13/4/2023",20,"B_R",2,"R",1,"",1,2,"C",0,1,"",NA,"Hot","Control"
