"","Value","Treatment"
"CORT-Cold464",0.0402536841688846,"CORT-Cold"
"CORT-Cold465",0.0315088370137128,"CORT-Cold"
"CORT-Cold466",0.0407587466546828,"CORT-Cold"
"CORT-Cold467",0.0373677277182867,"CORT-Cold"
"CORT-Cold468",0.0491605383999379,"CORT-Cold"
"CORT-Cold469",0.0202426626917427,"CORT-Cold"
"CORT-Cold470",0.0374785698992066,"CORT-Cold"
"CORT-Cold471",0.0290234623087084,"CORT-Cold"
"CORT-Cold472",0.0375293545465622,"CORT-Cold"
"CORT-Cold473",0.0452224691067235,"CORT-Cold"
"CORT-Cold474",0.0376156176054402,"CORT-Cold"
"CORT-Cold475",0.0329471260555512,"CORT-Cold"
"CORT-Cold476",0.0544759768442929,"CORT-Cold"
"CORT-Cold477",0.0247675769037362,"CORT-Cold"
"CORT-Cold478",0.0515180188232053,"CORT-Cold"
"CORT-Cold479",0.0405989799921778,"CORT-Cold"
"CORT-Cold480",0.0304208946406763,"CORT-Cold"
"CORT-Cold481",0.044066822495162,"CORT-Cold"
"CORT-Cold482",0.0429518516846032,"CORT-Cold"
